title,label
電影公司賺錢歪道提供免費影片下載民眾按分享反遭提告侵權,1
重複感染免疫變差羅一鈞：Omicron對人體影響變低,0
立委批政治防疫 籲政府盡速研議將新冠降為第4類,0
長者打疫苗抽房車、黃金元寶 台南1天湧2300人接種,0
文章日本罪行瞞不住了近海出現密密麻麻浮屍世界目光移向東京......難道日本又偷偷排核廢水了,1
影片：俄羅斯全國機場現在全部顯示中文已經沒有英文了,1
影片宣稱非洲一對新人婚禮播放這首台語歌名叫做『千萬不要掉落地』...,1
工會的好處記得再去申請補助 加碼1萬七月初領1筆30000的現在又加碼一萬 ,1
影片中東地區巴林國國王带着他的機器人保镖抵達迪拜参加第四次工業革命交流會,1
（公投）選務說明...投票人身上有彩虹意象的圖案會被當作影響投票而不讓你進入投票所,1
影片：世界最長的一條蛇在中國因洪水引起山崩出現被在地人發現,1
媒體報導以核養綠公投過關『非核家園』將失效,1
監委調查恩恩案 劉和然21日赴監院說明,0
新聞影片夭壽哦台灣人為賺錢害人不淺真的會造罪業！難怪台灣洗腎患者全球第一肝不好！癌症攀升！,1
傳言引述研究指稱武漢病毒以ACE-2外肽酶作為病毒受體東亞人種體內的ACE-2是非東亞人種的4-5倍...,1
快篩前爆1症狀恐已染Omicron 專家警告：病情全身惡化,0
蘇聯護理醫師布林加索夫院士很早以前就提出過一種預防流感和急性呼吸道感染的方法。...用沾滿肥皂的手指從內到外仔細清洗鼻孔...肥皂就能殺死病毒,1
俄烏局勢：俄軍在烏克蘭馬里烏波爾俘虜其中兩名“亞速營”的指揮官,1
法國增約8.8萬例確診破國內紀錄 病故人數也攀升,0
台灣疫情已經開始擴散了截至5月4日：桃園44人、新北24人..,1
影片宣稱影片中的年輕人就是LWKS患者...正常人不會帶著小刀去附近商店買東西...現今隨機殺人or傷人案件頻傳大家要小心...,1
影片印度軍隊已經接種疫苗～竟像蒼蠅一樣的死去,1
擔心流感爆發疫情 南投5天有2.2萬餘民眾施打流感疫苗,0
蘇貞昌施政報告 莫德納次世代雙價疫苗月底全數運抵,0
國境開放立委促指揮中心解散 蘇貞昌：仍有任務在身,0
亞銀年會 財政部長：適時傳達台海若動盪將衝擊全球,0
文章性工作者染武漢肺炎！ 西班牙有86名嫖客被下令關在妓院隔離14天,1
中國清零政策20大後難告終  恐延至2023上半年,0
訊息稱蘇貞昌注射疫苗的黃色針套沒有拔下來沒有注射疫苗,1
保護瀕危物種 加州水族館為海獺打新冠疫苗,0
媒體報導烤肉式用刑 中國凌虐新疆人手法曝光,1
今日選舉到下午四點截止時間投開票所會關門讓民眾無法再投票了,1
旅遊入出境指引出爐 入境旅客若染疫須自負治療費用,0
這種經典舞蹈是中國創作並在上海迪士尼樂園播出。 他們不是女性舞蹈藝術家而是所有中國製造的機器人,1
外電報導稱《自然》新研究：距今5000年前台灣原住民可能是太平洋地區人類的東亞祖先,1
影片因中國制裁問題！立陶宛政黨分裂！2黨議員議會現場打架！互扇耳光捶胸口！,1
影片這輩子也許從未看過的動物出現在越南深山非常珍貴的羊狐,1
高雄市+3717例 次世代疫苗預約踴躍、加場接種,0
COVID-19仍可能變異 日本暫不調降傳染病分級,0
列舉防疫六大作為 賴清德：早日進入與病毒共存新常態生活,0
50歲以上可打第四劑了 指揮中心：莫德納次世代10月3日第二階段開打,0
0+7上路前一天疫情恐達高峰莊人祥：不排除微升,0
恭喜全國60萬的外籍勞工...可以任意換老闆...雇主必須免費提供少21天返國探親假+14天特休假和機票...如果雇主不給外勞續約外勞想繼續在台就可以選擇逃跑法規沒有處罰外勞,1
北韓稱疫情獲控制 改口主張不必接種疫苗,0
境外生入境0+7可否入班上課 王必勝：尚未定案,0
新北流感疫苗10月1日開打 肺炎鏈球菌疫苗擴大對象,0
照片宣稱全世界僅此一張真實的乾隆皇帝照片,1
龍眼泡水喝近視從800度降到200度99%人都不懂Real煮法,1
影片台北101大樓34樓於918地震搖晃情形,1
高端疫苗已報銷逾5億元 蘇貞昌：疫苗寧可多不能少,0
韭菜煮水喝可以治療新冠病毒、鳳梨可以抵抗武漢肺炎、平時多食用洋蔥可以殺死身體的病毒和細菌。聞洋蔥可以殺死肺裡的病毒和細菌,1
影片宣稱羥氯奎寧可治癒新冠病毒有90%的有效性,1
泛美衛生組織：美洲各地新冠疫情連8周減緩,0
快篩試劑本來政府說每劑上千元等到吳宗憲捐贈給醫院時政府改為300元可見政府到處賺百姓錢、吳宗憲快篩買272元為何醫院要收7000元,1
金管會2招助產險度財務難關 黃天牧：不會是最後措施,0
圖卡法國諾貝爾醫學獎蒙塔尼耶說：接種第三針的人去做愛滋病檢測結果會令你吃驚,1
台灣選舉還有一種奥步是：李進勇叫印票厰商在2號的蓋章處印上一層薄博的肉眼難看以出來的爉或是油脂讓蓋票章上的红墨水乾不了選票一折很容易就花掉變成廢票,1
美新冠確診破5千萬例 Delta最多Omicron擴散,0
佛奇籲拒絕跨年趴 預期Omicron病例1月底達高峰,0
新竹市新增516例 今年累積9萬2799例,0
防疫負面影響 香港國際展覽場數大幅下降,0
抹片檢查、HPV疫苗接種皆降 公費升至9價醫籲施打,0
二氧化氯水溶液可治療新冠肺炎、飲用二氧化氯水溶液能治療癌症、慢性病、各種身體上的問題、打完疫苗三到六個月內最神奇的MMS/CDS可以降解刺突蛋白和石墨烯危害,1
影片下面這個視頻很神奇只要拿着手機輕輕的點開不要動過一會它就會告訴你的心跳是多少,1
有人送新年禮物來囉虎年貼圖刮刮樂立即接收下載,1
圖片永不『中風』…鄧小平、羅斯福、邱吉爾...都是中風结束其一生…中華生理函校宗石喬教授提倡的飲水法：用 300 CC茶杯一隻小便後飲一杯...,1
吃芒果不能配豆漿芒果容易過敏。豆漿中含有大量的膳食纖維維生素等蛋白質可能會與芒果的維生素C進行反應出現腹瀉腹痛等症狀,1
羅氏與韓藥廠COVID-19療法 歐盟藥管局建議批准,0
確診新冠症狀變了！醫曝染BA.5有5大病徵,0
COVID-19疫情未歇 世衛：鼻噴疫苗盼成抗疫利器,0
華航首架皮卡丘彩繪機台北飛東京 首航客喊好幸運,0
影／莫德納次世代疫苗首日施打 三類族群優先,0
圖表宣稱台灣苦旱缺水原因的證據找到了...中央氣象局今晚5月9日7點至十點的雷達回波動態圖顯示...中火上方的圓形波紋水氣回波碰到即自動消散,1
猴痘全球炸裂 世衛急喊一招防傳染,0
訊息搭配影片宣稱台灣擊落中國戰機SU-35,1
影片被指稱是加入民進黨求得一官半職就有享不完的榮華富貴....蔡政府官員民代們圍繞著美女辣妹真是精彩這些揮霍著民脂民膏的人民血汗納稅錢天理何在,1
榮總感染科醫師退休 現任雙和醫院~劉永慶醫師提供的資訊花蓮縣衛生局 朱家祥局長 朱爸提供新的防疫觀念分享給大家～,1
COVID-19未歇又將流感季 指揮中心籲有症狀先快篩,0
圖卡日本電視台主播在播報安倍晉三去世時忍不住笑了笑雖又收住但被網友節錄了下來,1
網站文章殯葬業者累倒午睡 被同事誤當屍體 火化死亡,1
COVID是政府要殺人格鬥女子冠軍提陰謀論,0
訊息瑞典氣候保護活動小女孩格蕾塔·童貝里（Greta Thunberg）強烈要求中國放棄用筷子以便保護樹木,1
元大證券家庭日 健走植樹綠地球,0
香港今增3529例確診者  移入病例增多,0
解放軍殲-10在福建上空擊落美全球最先進戰機F-22...駐日美軍司令兼第五航空隊司令菲爾德／布魯斯．懷特...接受美聯社獨家採訪時對中國人民解放軍最新裝備羨慕不已,1
中國13名男女吃豬肉感染SK5病毒死亡,1
研究：Omicron症狀似較輕 住院天數死亡率皆較低,0
桃園機場已經完全停飛、阿共仔演習封鎖台灣機場停止起飛與降落了,1
照片宣稱位於南太平洋.紐西蘭的正北方-『斐濟』。『斐濟』的蝦子別懷疑就是這麼巨大！一隻就夠妳全家吃三天,1
緩解COVID-19四大症狀 居家常備藥物清單曝,0
感染Omicron後每4個人就有1個人出現『腦霧』嚴重可能變成失智症、大家都害怕的失智症就是從腦霧開始的,1
聯合國大會總辯論展開  3友邦敦促聯合國接納台灣,0
喬柯維奇為何不打疫苗外媒分析可能原因,0
副作用較小 Novavax明開放青少年打,0
美議員提法案追查疫源 若北京不配合調查就制裁,0
從明天五點二十七分開始太陽將會遠離地球天氣會因此變得比較嚴寒這種現象叫做遠日點...這種現象將會延續至今年八月一般上天氣會比平時要冷,1
布拉格商店老闆在店門口貼上了『禁止烏克蘭人入內』的告示,1
這個政黨還能支持嗎今天花三千萬元邀請世界各國同性戀者到台北遊行殘害我們的下一代,1
3境外改本土 本土＋18 境外＋61,0
英單日新增病例破10萬 5到11歲兒童准打輝瑞,0
應對疫情表現不佳 美國疾管局將結構改革,0
正骨醫院郭氏孫女郭豔娟（過去的同事現三門峽正骨分院院長）所發分享給大家...每天出門前用棉籤蘸點小磨香油、白醋滴進兩個鼻孔內輕捏幾下即可這樣就可以阻斷一切流感和溫疫傳染,1
圖片宣稱1 張海苔壽司皮就可獲得一天所需的維生素 B12...香菇的B12比肉類還高,1
癌症終於被破解了！如果一個人體內有癌症最重要的就是要在短期內盡可能攝取到最大量的B17。喝馬鈴薯生汁據說可以有效控制癌細胞,1
影片從意大利回鄉的塞內加爾人全被就地槍斃,1
媒體引述影片報導：1日網上傳出視頻顯示華信航空AE-218班機自武漢飛抵台灣松山機場全副裝備的檢疫人員進行登機檢疫工作,1
美國大選註冊選民1.4+億人特朗普7300萬票拜登8000萬票... 美國這次好像才1.4億註冊選民現在都投出1.5億張票了,1
大陸研發mRNA疫苗臨床實驗中 首獲印尼緊急使用授權,0
重磅消息！中共絕密文件曝光透過自願者令香港警察英勇殉職以吸引媒體的眼球集中在暴徒身上,1
防疫私房招70%的食用酒....新冠病毒在鼻子內和喉嚨內用酒一噴就死了吧！,1
猴痘就是疫苗災難 自身免疫性水皰病是輝瑞疫苗的不良反應在輝瑞被迫公佈的數據中資料的第2頁。猴痘是對疫苗不良反應的一種掩蓋,1
快篩陽可到公園跑步專家舉外國與病毒共存範例,0
台大醫院26日開打次世代疫苗 即起開放網路掛號,0
住宿式長照機構開放探視 打滿3劑免篩檢,0
別自己嚇自己！何美鄉曝感染Omicron罹患長新冠比例,0
影／若無重大變化 蘇貞昌：10月13日解封恢復正常生活,0
研究：不明兒童肝炎 新型冠狀病毒恐是根源,0
圖片俄羅斯總能給人意外驚喜！耐吉宣布全線退出俄羅斯市場俄羅斯蘇維埃“耐吉鞋”閃亮登場…直接在耐吉LOGO上加了一把錘子。和鐮刀加上錘子的LOGO有極大相似之處而且還保持了耐吉的勾勾…,1
河野太郎確診COVID-19 曾出席安倍守靈儀式,0
影片宣稱火星探測器恆心漫遊者2月18日傳送回地球的4.71億公里之外火星地表的視頻和聲音...,1
河南：推動694個爛尾項目復工 已有50個竣工,0
影片宣稱法國巴黎 爆發抗議示威反對封城,1
影片大蛇纏繞箱型車連續豪雨山崩台灣阿里山出現超大隻巨蠎,1
影片遊覽車集結到總統府抗議台灣需要疫苗！新聞不報,1
用藥標準不明確 韓國COVID-19口服藥使用率低,0
影片宣稱這是高雄市罷韓指揮中心裡面的都是主要成員看看牠們厚顏無恥、粗鄙下流、噁心動作⋯,1
駐以色列代表會特拉維夫市長 期強化雙邊城市交流,0
BA.5容易侵犯下呼吸道造成肺部浸潤引發續發性肺炎會侵犯全身細胞、破壞大腦細胞,1
東部2.5個月專責空床率超過8成 指揮中心：高原期過後檢討調整,0
若心臟病發作可以用深吸呼和用力咳嗽來自救,1
疫情改變95後中國年輕人 富養一代變摳門一族,0
影／花東地震路坍橋斷 蘇貞昌：新建工程要求提升防震,0
外資：iPhone 14約5%產能年底移至印度 鴻海受惠,0
香港入境檢疫0+3 羅一鈞：比台灣0+7更嚴,0
影片尋獲東方航空黑盒子（飛行紀錄器）墜毀前70秒的驚悚畫面,1
直播／本土+46673、境外+229 增39人病歿,0
圖片宣稱這是一種來自巴西的蘭花名叫Peristeria它在復活節的季節裡開花也被稱為聖靈的花...,1
研究指出：睡前穿雙襪子..助人早15分鐘進入夢鄉,1
拜登COVID-19確診一天後 白宮稱其狀況還不錯,0
影片急報！晚7時特大新聞！解放軍擊落台灣戰機！飛行員被押送回京！這次中國真的出手了！,1
美CDC研究：超過3成染疫者有長期新冠症狀 高風險族群曝光,0
COVID-19疫苗強制令奏效 美確診死亡雙降,0
影片這是我們下一代演出的戲曲在高雄衛武營國家劇場演出的『純台灣味』,1
影片稱汽車高速行駛時爆胎大力踩煞車可平穩停車,1
圖文為什麼外面沒有人也要你戴口罩因為噴嚏液體速度是每秒35公尺空氣中擴散8米可懸浮24小時,1
輝瑞首席執行官11/5被聯邦調查局逮捕被指控犯有多項欺詐罪...在等待保釋聽證會期間被關押,1
機組員喊鬆綁 下周一討論,0
圖文美東時間1月16日川普總統換上了三軍總司令軍服受到了廣大士兵的堅決擁護。這個偉大的美國三軍統帥正在指揮著一支保護人民的軍隊,1
美國航艦雷根號將訪韓國 2018年以來首見,0
近40年任期美防疫隊長將交棒 本人親吐1關鍵,0
英媒登王國材專文：對中磕頭排除台灣 危害全球飛安,0
染疫康復後該打疫苗嗎 國外兩研究揭答案,0
國際民航大會將登場 加拿大支持台灣參與,0
影片宣稱美國鬧出那麼大的事 全世界都大篇幅報導 台灣媒體卻被消音 可憐的台灣人。連媒體自由 知的權利都沒有,1
孕婦為寶寶挨了近300針 高醫一圓孕媽咪求子夢,0
疫情下用眼頻率增  國健署祭3010120口訣護眼,0
影片抗原快篩檢測棉籤加工過程一部分。一排棉籤不知沾了什麼這很大可能是化學物質。看完後你們還敢做插鼻子快篩檢測嗎,1
兒童防治法將於19號當日起12歲以下兒童除罪化,1
費亞拉將獲任命為捷克總理 當務之急是處理疫情,0
蔡英文作票多260萬票的證據！檢察官『不畏強權』中選會敗訴終將要還原歷史,1
2019.11.18晚上理大被捕暴徒學生原來很多學生已被染上毒品毒癮發作全部發冷要用保鮮膜保暖,1
新疆暫停離疆客運列車  為中共20大防疫情外溢,0
疫苗價格保密時間依品牌各異 薛瑞元：全世界都是這樣,0
附連結稱美國在台灣設10個實驗室台灣完蛋了,1
柯文哲嗆聲陳時中 蘇貞昌：勿因選舉扭曲他人,0
影片活了30年才知道原來這種小蔥不能吃多虧鄰居提醒我真是長見識了難怪幾年前曾經看過報導說：宜蘭三星地區農民得癌症比例很高,1
CNN：拜登正進行史上最愚蠢的戰鬥,0
金門＋86 連3天確診未破百例,0
影片宣稱加州／舊金山／台灣政府要求戴口罩但是沒有要求要穿衣服,1
《生醫股》逸達治新冠ARDS二／三期臨床 二次通過IDMC審查,0
水煮蛋讓你遠離中風修復肝功能,1
