title,label,subject,time
輝瑞向日申請批准COVID-19口服藥 最快10日獲准,Real,國際,2022/2/9 23:39
郵輪疑違規辦跨年派對爆疫情 巴西衛生當局要查,Real,國際,2022/1/3 11:17
Covid-19將感冒化 詹啟賢自曝只打兩劑疫苗,Real,生活,2022/7/26 18:50
訪團有人確診 布林肯東南亞行程喊卡將返華府,Real,國際,2021/12/15 22:31
輝瑞抗COVID-19口服藥 歐盟有條件開綠燈,Real,國際,2022/1/28 15:38
Omicron亞變種進入廣東 傳播力更強,Real,兩岸,2022/5/17 16:16
疫情多地延燒 本土＋34 境外＋93,Real,生活,2022/3/28 16:11
德財長訪美確診COVID-19 症狀輕微,Real,國際,2022/4/21 13:15
默沙東抗疫口服藥 日本擬2021年內引進特例核准,Real,國際,2021/10/4 12:12
聯合國秘書長：富國霸占疫苗 損人不利己,Real,國際,2021/10/8 21:08
北韓官媒：疫情趨緩 單日發燒數首降至20萬以下,Real,國際,2022/5/22 12:08
境外移入＋19例 選手累積13例,Real,生活,2021/12/28 14:44
佳節將至 黃偉哲前往陸軍南測中心勞軍,Real,寶島,2022/9/7 12:03
新冠口服藥將問世 專家警告：不能代替疫苗,Real,國際,2021/11/9 11:36
竹縣＋1326 婦幼館周六開設接種專案,Real,生活,2022/10/7 13:52
境外移入＋3例 確診個案中無新增死亡,Real,財經,2021/11/8 15:59
3／1起調整全國住宿式長照機構訪客管理措施,Real,生活,2022/2/24 15:24
調查：印尼爪哇峇里島99%民眾已有COVID-19抗體,Real,國際,2022/4/19 05:12
益安小金雞益興 收購矽谷知名CDMO,Real,財經,2022/4/11 17:32
用藥標準不明確 韓國COVID-19口服藥使用率低,Real,國際,2022/1/21 21:12
Delta蔓延出奧克蘭 紐西蘭祭更嚴格旅遊疫苗規範,Real,國際,2021/10/3 14:13
Omicron爆26種獨特突變 免疫細胞恐難辨識,Real,國際,2021/12/1 07:05
歐洲疫情攀升 封殺不打疫苗者成防疫重點,Real,國際,2021/11/19 18:12
男冷血殺19童「美國病了」 外媒曝2驚人數字,Real,國際,2022/5/25 18:19
輝瑞5歲以下兒童COVID-19疫苗 已向美遞批准申請,Real,國際,2022/6/2 23:42
歐盟建議改旅行規定 從考量國家風險轉為注意個人,Real,國際,2022/1/26 14:21
佛奇：冬天恐有COVID-19新變異株 可能更易傳播,Real,國際,2022/10/8 20:50
WHO警告 還不能將新冠病毒視為地方性流行病,Real,國際,2022/1/12 04:07
日男職場被傳染COVID-19 後遺症也認定屬勞災,Real,國際,2021/11/4 09:26
從「最成功領袖」到狼狽滾蛋 強生政治歷程一次看,Real,國際,2022/7/7 19:38
美CDC：18歲以下未打疫苗外籍人士 抵美毋須隔離,Real,國際,2021/10/31 06:09
還能開放嗎？ 日實驗團客入境僅3天確診新冠 ,Real,國際,2022/5/31 09:48
染疫死亡數再創新高 俄羅斯擬停止上班一週,Real,國際,2021/10/19 22:46
越南確診數暴增 首次單日破10萬人染疫,Real,國際,2022/3/2 23:29
奧地利總理打3劑COVID-19疫苗 仍突破性感染,Real,國際,2022/1/8 18:00
春節後首梯！21期公費疫苗追加劑 明起分流預約,Real,生活,2022/1/25 14:13
美國防部長奧斯汀二度確診COVID-19 症狀輕微,Real,國際,2022/8/16 03:26
香港疫情嚴峻 次世代定序NGS助監測病毒 切斷傳播鏈,Real,健康,2022/3/12 04:08
號稱非洲COVID疫苗生產先鋒 南非工廠沒訂單恐關閉,Real,國際,2022/5/2 23:56
新冠疫苗已供過於求 取得管道依舊不公,Real,國際,2022/4/10 12:47
土耳其公衛專家：COVID-19終將只是流感,Real,國際,2021/10/12 09:09
對抗Omicron 加拿大擴大紓困計畫警告疫情恐惡化,Real,國際,2021/12/23 21:05
NBA》聯盟喊停5場例行賽 9支球隊受影響,Real,體育,2021/12/20 07:20
巴西總統堅決不打疫苗 可能被禁足聯合國大會,Real,國際,2021/9/16 10:07
染Omicron恐引發腦霧失憶 前台大醫：未知數很多,Real,生活,2022/1/26 15:06
疫苗預約平台開放查詢資格 15日10點開放預約,Real,生活,2022/1/14 14:40
AI偵測COVID-19病徵 成大蔣榮先團隊獲選全球前10名頂尖,Real,生活,2022/1/13 13:36
中醫治療COVID-19 接受度提高,Real,產業特刊,2022/7/3 04:10
日本5旬夫婦欲接種流感 誤被施打COVID-19疫苗,Real,國際,2021/10/11 17:40
正與台灣洽談互設代表處 斯洛維尼亞總理楊薩確診COVID-19,Real,國際,2022/2/10 06:00
義大利新增逾22萬例 較昨日倍增,Real,國際,2022/1/12 05:59
境外移入＋3例 無新增死亡,Real,生活,2021/11/22 15:36
紐約COVID-19達高警戒 暫未恢復口罩令,Real,國際,2022/5/18 10:27
紐西蘭全面開放邊境 盼刺激教育及觀光,Real,國際,2022/8/1 15:36
英銀意外開升息第一槍 憂通膨暴衝勝過疫情升溫,Real,國際,2021/12/16 23:51
台南5歲以下第1劑41.9％ 拚提高孩童疫苗覆蓋率,Real,生活,2022/9/22 19:09
真有無敵星星？專家揭新冠重複感染症狀 5大QA一次看,Real,國際,2022/6/14 09:05
白宮：5歲以下COVID疫苗若獲准 最快6/21開打,Real,國際,2022/6/3 13:25
佛系防疫鑄大錯 英議員：疫情爆發之初太慢封城,Real,國際,2021/10/12 12:19
研究：母嬰傳染COVID-19非常罕見,Real,國際,2022/3/17 13:30
正妹OL一理由「把身子給上司」 大白天直奔賓館床戰,Real,國際,2022/8/13 22:20
越南搶國際旅客 提議免除COVID-19保險要求,Real,國際,2022/6/10 20:21
英國將向5到11歲提供新冠疫苗 有助預防重症,Real,國際,2022/2/17 10:16
換腎女染疫重症 葉克膜＋智慧醫療救回,Real,健康,2022/10/5 12:19
金門獲配逾萬劑莫德納疫苗 縣府籲盡快接種第3劑,Real,生活,2022/2/12 09:58
港研究：益生菌可提升COVID-19疫苗成效,Real,財經,2021/12/2 13:48
路透：東歐COVID-19病歿人數突破100萬,Real,國際,2021/12/31 18:14
澳洲批准成人COVID-19追加劑 預計11月全民施打,Real,國際,2021/10/27 18:48
夏威夷豪宅市場噴出,Real,專題周報,2022/1/9 04:10
採購70萬人份口服藥Paxlovid 第二季將到貨35萬份,Real,生活,2022/4/11 15:31
沖繩增1759例COVID-19連3天創新高 東京增1224例,Real,國際,2022/1/8 18:09
法總理染疫 比利時總理4部長急隔離,Real,國際,2021/11/23 10:32
美COVID不治將破百萬人 國家大教堂敲鐘千次致哀,Real,國際,2022/5/10 11:41
美股2021封關收黑 標普500全年漲27％,Real,財經,2022/1/1 09:19
染疫長期症狀 將訂診斷碼追蹤,Real,生活新聞,2021/10/15 04:10
接種過3劑！美國前總統歐巴馬新冠確診 症狀輕微僅喉嚨發癢,Real,國際,2022/3/14 04:30
兒科急診忙翻！「COVID 反彈」 醫憂病毒在流竄,Real,時事,2022/10/7 09:30
法國注射至少1劑新冠疫苗人數突破5000萬,Real,國際,2021/9/18 03:45
郵輪上爆發新冠疫情 巴西暫停有關業務,Real,國際,2022/1/4 08:41
Omicron感染引發腦霧？羅一鈞、林氏璧都「打臉」,Real,生活,2022/1/27 15:03
3成患者難康復 研究曝全美死於「長新冠」驚人數字,Real,國際,2022/6/4 20:44
索羅門疫情延燒求救 澳洲派出醫療小組,Real,國際,2022/1/29 22:13
川普施打並推廣COVID-19疫苗追加劑 白宮表達感激,Real,國際,2021/12/24 04:34
莫德納宣布3大倡議 免除貧國COVID-19疫苗專利,Real,國際,2022/3/8 17:34
品觀點｜宗教協會群聚增2例 染疫康復門診上線,Real,生活,2022/2/23 17:08
新冠長期後遺症多 3症狀需就醫 6種人更該注意,Real,健康,2022/5/16 07:42
保護瀕危物種 加州水族館為海獺打COVID疫苗,Real,財經,2021/11/7 15:50
美國5歲以下孩童 下周就可打疫苗,Real,生活新聞,2022/6/17 04:10
金門＋86 連3天確診未破百例,Real,生活,2022/8/16 16:27
拜登：美國疫情已結束 沒人戴口罩了,Real,國際,2022/9/19 11:34
好命貂民 芬蘭創歐洲先例要替「貂」打COVID-19疫苗,Real,國際,2021/10/1 20:37
疫情嚴峻 長者及易產生嚴重併發症族群盡速完成基礎劑接種,Real,生活,2022/1/6 15:35
4成染疫者苦於新冠長期後遺症 必知！復健醫師幫大忙,Real,健康,2022/3/21 05:18
羅氏與韓藥廠COVID-19療法 歐盟藥管局建議批准,Real,國際,2021/11/12 15:38
印度兒童感染蕃茄流感 國際期刊：已成地方疾病,Real,國際,2022/8/21 19:25
富邦金董事長蔡明興確診 羅一鈞曝Ct值：剛染疫,Real,生活,2021/10/20 17:15
高雄市BA.5再添2兒童 為家庭群聚感染,Real,生活,2022/7/27 17:15
COVID新增病例下滑 WHO警告疫情還未結束,Real,國際,2022/5/23 15:30
《生醫股》浩鼎握現17億元 COVID-19疫苗2月個內揭曉動物試驗數字,Real,財經,2021/11/11 16:14
日跟進G7下月鬆綁邊境 8成國家入境「免隔離」!,Real,國際,2022/5/21 11:26
印度今年手機產值 挑戰逾50億美元,Real,產業．科技,2022/1/21 04:10
SJ神童打完3劑疫苗 染疫康復「2次中鏢」海外行程全喊卡,Real,娛樂,2022/3/27 08:47
菲國校園關閉600天 大學師生接種疫苗可到校上課,Real,國際,2021/11/5 22:25
IMF首席經濟學家：中國應鬆綁COVID-19清零政策,Real,國際,2022/1/26 16:39
Omicron肆虐孩童染疫數大增 卡達3周大嬰兒病逝,Real,國際,2022/1/17 10:27
北韓：COVID疫情已控制 新發燒例連3天少於20萬,Real,國際,2022/5/24 09:49
南非總統染疫 自主隔離1週後返回工作崗位,Real,國際,2021/12/20 20:08
紐西蘭Omicron疫情升級 總理婚禮延後,Real,國際,2022/1/23 10:43
莫德納擴大亞洲業務 宣布將設台灣辦公室,Real,國際,2022/2/16 12:26
境外移入＋8例 無新增死亡,Real,生活,2021/11/29 14:51
開卷書摘》數位疫苗證明有哪些用途？從本周最夯新聞學多益英文,Real,生活,2021/12/28 08:39
世衛：Omicron發現迄今 50萬人染疫病歿,Real,國際,2022/2/9 10:03
國內旅行施打疫苗強制令 傳加拿大將宣布取消,Real,國際,2022/6/14 19:09
見過拜登不久後確診 美中情局長染疫出現症狀,Real,國際,2022/4/1 05:52
F-16V採購慘遭砍半 專家指出這國2大問題,Real,軍事,2022/6/30 20:15
疫情趨緩 巴西結束COVID-19衛生緊急情況,Real,國際,2022/4/19 11:00
COVID-19疫苗快斬精蟲心驚驚？ 美國新研究揭曉,Real,國際,2022/1/22 19:57
日本特例批准輝瑞COVID-19口服藥 最快14日用藥,Real,國際,2022/2/10 23:30
無法提高存活率 世衛建議勿用血漿治療新冠肺炎,Real,國際,2021/12/7 10:13
美疫情病故破70萬 拜登：儘快接種疫苗,Real,國際,2021/10/3 09:14
Omicron來勢洶洶 英國提升防疫等級至次高,Real,國際,2021/12/13 04:12
