title,label,subject,time
傳言稱「中選會惡名昭彰，近兩次總統大選皆傳開票計票違法，而且電視台最終票數遭竄改」？,Fake,政治與政策,2022/10/7
影片「這是飛碟，隱藏在烏雲的後面，有一個飛行器」？,Fake,生活,2022/10/7
影片「10.1 今天台灣街頭震撼一幕」？,Fake,政治與政策,2022/10/7
影片「摧毀台積電！美國真的宣布了！美國財政部長葉倫親口確認」？,Fake,國際,2022/10/7
圖卡「桃園北景雲計畫獲得建築金石獎『優良建築施工品質類』獎項」？,Fake,政治與政策,2022/10/5
新聞影片「會致癌的毒醬油，食品部，衛福部，GMP，這下不知道是誰要出來處理一下」？,Fake,生活,2022/10/4
美官員照片「北溪管線爆炸主因破案了！有圖有真相」？,Fake,國際,2022/10/4
「確診者最新規定要69歲以上，才能去住居隔檢疫所，家中沒有獨立套房也沒有關係。家中有老人小孩也沒關係。全家與病毒共存！清冠一號也沒有公費了」？,Fake,健康,2022/10/3
影片「墨西哥規模7.6強震畫面」？,Fake,國際,2022/10/3
「新冠疫情各國死亡率 台灣死亡率達5.2%！逾全球平均2倍 遠高於英美德法」？,Fake,健康,2022/9/30
影片「太可怕了，台灣選舉真會如此不堪嗎？請中選會恢復以往投開票所內設置全程錄影，以供群眾檢視，自證清白...」？,Fake,政治與政策,2022/9/30
「很多人沒見過的新型測速攝影…為了你們辛苦賺來的錢，不要讓政府把你當提款機，務必小心，不要超速！」？,Fake,生活,2022/9/30
"影片「這是鋼琴演奏最高境界，他又瞎、又患唐氏症, 但上帝給他難以想像的天賦，太珍貴了！他的名字叫許哲成」？",Fake,生活,2022/9/29
電子郵件「自動付款未通過。您的Netflix訂閱期將於2022年9月20日結束。要更新您的詳細信息，請單擊下面的鏈接」？,Fake,科技資安,2022/9/29
影片「這是昨天9/21呂秀蓮發起大遊行！新聞都沒報導」？,Fake,政治與政策,2022/9/28
影片「全世界最臭的毒氣屁  動物界最先進的逃脫裝備，被眼尖的攝影師拍攝存證，讓頂尖的獵豹都望食興嘆」？,Fake,環境能源,2022/9/28
「末日即將來臨，美國最高法院已經裁定兄弟姐妹可以結婚了」？,Fake,國際,2022/9/28
「防疫中心李秉穎醫師說明mRNA疫苗為何會在全身亂竄：mRNA疫苗為何會引起全身器官發炎反應.. 因為mRNA的載體是氧化石墨烯」？,Fake,健康,2022/9/27
影片宣稱「 920 退休警員大遊行」?,Fake,生活,2022/9/27
影片「烏俄戰爭被獵殺的侵略者俄羅斯裝甲車一個都跑不掉，比看電影還要精彩 真是大快人心」？,Fake,國際,2022/9/27
「裴洛西訪台效應發威，高雄港進出不得，貨櫃量狂掉七成，貨櫃司機苦等工作」？,Fake,政治與政策,2022/9/27
超商禮券「中秋節感恩大回饋，為了感謝鄉親鄰里的支持，現在只有掃描加入官方好友，即可領取現金禮券2000元，全台通路皆可使用」？,Fake,生活,2022/9/26
照片「9/24竟然為了在高雄紅毛港立日本前首相安倍晉三銅像，高雄市政府竟然派出穿著憲兵軍常服的協勤禮賓隊，全程服侍」？,Fake,政治與政策,2022/9/26
「918台東地震 這次震源的深度是10km，是通過無線電廣播的。因此，如果只看震源的深度，則可能是人工發生的」？,Fake,環境能源,2022/9/26
「英國女王就是因為摔了一跤導致身體的器官衰竭而離世。摔跤會打亂身體平衡、重創微循環、經絡崩潰」？,Fake,國際,2022/9/23
影片「8月2日蘇-35戰機在台灣海峽上空投放閃光彈，可以從福建廈門市看到」、「9月19日台灣上空看起來發生一場混戰或是防空系統開槍」？,Fake,政治與政策,2022/9/23
影片「台北101大樓34樓於918地震搖晃情形」？,Fake,生活,2022/9/23
「羅馬尼亞歐洲議會代表提出質疑：2019年12月世界上才發現新冠病毒 ，但為何美國的莫德納藥廠早在2017年已在疫苗測試上超前佈局」？,Fake,健康,2022/9/23
「中央氣象局地震預報：中央山脈斷層昨日被關山地震啟動，不排除未來會有7級、8級的地震發生」？,Fake,環境能源,2022/9/22
「左手香可治療新冠確診」？,Fake,健康,2022/9/21
影片「全球第一架，永不降落的飛機酒店」？,Fake,生活,2022/9/21
圖卡「小知識 921地震前三天有兩次6.0以上的小地震」？,Fake,科學研究,2022/9/20
影片「手拿手機不能開瓦斯」？,Fake,生活,2022/9/20
